key,a,b,c,d,e,f,g,h,i
4_z,-0.030588309296590302,0.00389021541013131,-0.0001834508652456249,4.013730459085583e-06,-4.657756295732099e-08,2.9772902004801405e-10,-9.930777928823281e-13,1.352447566026805e-15,-0.0300634587525578
5_x,-0.0021980420872259048,0.00019563663093357975,-8.94589357758207e-06,2.545152592295735e-07,-4.026171709138993e-09,3.399450081534556e-11,-1.435112891276174e-13,2.3771000332700053e-16,0.6678766813585979
5_y,0.0036113730680281285,-0.000487926944414903,1.822774754671749e-05,-1.4737122163900063e-07,-1.6100171078756432e-09,2.8803770104923953e-11,-1.354209297111699e-13,1.914716222614296e-16,0.35339887645157475
5_z,-0.03203386527771166,0.004335086241512599,-0.00022934810136318075,5.718018621833697e-06,-7.529008042870834e-08,5.38255868679332e-10,-1.966877495006185e-12,2.862396691080858e-15,-0.3336158203683932
6_x,-0.000330124024906176,-0.0001453443671717073,5.127673984174066e-06,-2.74197568943008e-08,-1.089191933653706e-09,1.9455906360561514e-11,-1.221254604714135e-13,2.716688813659745e-16,0.39042955935952617
6_y,0.0030790916160881414,-0.000506262644433773,2.238473580854325e-05,-3.1665867668908417e-07,1.411693663050237e-09,1.52887635933376e-12,-1.32410892988931e-14,-2.463121488438437e-17,0.37018376950004367
6_z,-0.030281133361171244,0.0037495178572294592,-0.0001827855270873706,4.259228905051638e-06,-5.283660892999515e-08,3.5677277656713845e-10,-1.227604527824008e-12,1.6660088467952138e-15,-0.3995560116524835
7_x,0.012022188137692635,-0.001863497255385612,0.00010710455119659968,-3.012254125549425e-06,4.629460852047485e-08,-3.962178017683507e-10,1.7686037642560282e-12,-3.2016681619773214e-15,0.47703971579305404
7_y,0.010588725578297,-0.001517671926904157,7.666975809455968e-05,-1.7975029038322524e-06,2.376002865441104e-08,-1.8685700259451888e-10,8.153782325738743e-13,-1.502938426120769e-15,0.35009004257458715
7_z,-0.042882363905646245,0.005637422777908908,-0.00031157735053306975,8.287167456737374e-06,-1.1718300660770111e-07,9.040348255811119e-10,-3.5902686444893937e-12,5.7417887697793296e-15,-0.478895095315569
8_x,-0.005043509862881484,0.0006431471807064339,-3.833124879162339e-05,1.1850375307047353e-06,-1.9650537514642395e-08,1.7652294000591193e-10,-8.092861561574619e-13,1.4815215274209758e-15,0.5297632189743458
8_y,0.009901422207999777,-0.0013982228952705402,7.122299537417718e-05,-1.6749039845220977e-06,2.2173233465895287e-08,-1.7473881088693012e-10,7.645626875845617e-13,-1.4129580509399392e-15,0.34706934744865364
8_z,-0.044744288727662604,0.005917058697107507,-0.0003208503983455451,8.569317179731031e-06,-1.2376566108594776e-07,9.855833510690392e-10,-4.067779433793622e-12,6.79321697629459e-15,-0.5331206571107691
