key,a,b,c,d,e,f,g,h,i,j
6_z,-0.02923929533444864,0.007666786524287267,-0.0008637800885880984,4.930900740689515e-05,-1.5556161593448183e-06,2.8120125649174928e-08,-2.8959946719577685e-10,1.5799832287631634e-12,-3.5448419318513203e-15,-0.13862826875678927
7_x,-0.0016544234985132985,0.0005782099817235684,-7.881498977024362e-05,5.0553258330526995e-06,-1.7241725638609274e-07,3.2962852670356054e-09,-3.5424160558977855e-11,1.9990867801979635e-13,-4.611192217432613e-16,0.4219733655408821
7_y,0.007671772938143249,-0.00306775936764919,0.0004155195322676149,-2.6657557156753526e-05,9.129841068479486e-07,-1.7522424213780018e-08,1.888519760575723e-10,-1.0680646597831215e-12,2.4681647538463183e-15,0.4676434107898578
7_z,-0.05899742982092315,0.012440107368602035,-0.0011706126207007288,5.7638804515960754e-05,-1.61050084857829e-06,2.623807800505042e-08,-2.457721392529237e-10,1.2235911777147095e-12,-2.5036165166454306e-15,-0.15297586520516096
8_x,0.005861700674286541,-0.0017028912129748866,0.000177785041088456,-9.15949853486518e-06,2.631953314450361e-07,-4.449508364814386e-09,4.4062300335378735e-11,-2.3649933893683865e-13,5.309296515502886e-16,0.5150240426978578
8_y,0.011006101252373867,-0.003839772937948006,0.0004909287794691252,-3.0491655397556616e-05,1.0239170376977236e-06,-1.94176090671053e-08,2.077664513510132e-10,-1.1699481388121694e-12,2.6968111163804044e-15,0.4531569583115091
8_z,-0.014016675557764166,0.002273117372185009,-0.00019444426805736257,9.580239204082679e-06,-2.746145883403474e-07,4.429642234096301e-09,-3.8658936222113354e-11,1.65100786118912e-13,-2.5362075904122366e-16,-0.25064177133817755
9_x,-0.005937279877007875,0.0014050946886703958,-0.00014725486280843734,7.828241567139996e-06,-2.3162575564292678e-07,3.978584100417244e-09,-3.9436230925469997e-11,2.0925312103613397e-13,-4.602730581586858e-16,0.5430992615804092
9_y,0.004334058709398825,-0.0017092567048822725,0.00023776993691483603,-1.5606997058862847e-05,5.432853608575833e-07,-1.054197644230152e-08,1.1448520506028757e-10,-6.510958476606131e-13,1.5111565247784233e-15,0.6368299873478459
9_z,-0.0005529345376061335,5.423651201438226e-07,2.2870638774095733e-06,-1.1158903285085687e-07,1.7776411643451989e-09,6.970784981036534e-12,-5.103136078926176e-13,5.2578437274006816e-15,-1.7374800023199855e-17,-0.02337626022624822
10_x,-0.002732620831270162,0.0006348578290430088,-6.663693855619707e-05,3.5423309205883574e-06,-1.0489463174591567e-07,1.8054224124553508e-09,-1.7949141280873832e-11,9.558574134036164e-14,-2.1109851101411456e-16,0.41341627490058497
10_y,0.004936155388551894,-0.0018951167952500148,0.00025821791184904813,-1.6672454039690826e-05,5.735985679202324e-07,-1.1041813292731823e-08,1.1925625074047542e-10,-6.755597460017456e-13,1.5632931590756296e-15,0.6350104904471551
10_z,0.0006271492695116128,-2.2944726833008394e-05,2.0881713597088216e-07,-2.382592067968146e-08,2.268853657604587e-09,-7.708575804335086e-11,1.2122757705542289e-12,-9.0251479872387e-15,2.5763930344285994e-17,0.02343440115973607
11_x,-0.008771119547406532,0.0022472224206688623,-0.00023330961173881063,1.2149130805432634e-05,-3.530248036694205e-07,5.997706744674346e-09,-5.92273547238472e-11,3.148775239647008e-13,-6.967148540207796e-16,0.5474742014617086
11_y,-0.009097195652804252,0.0025459627626070822,-0.0002781500117683338,1.4935134525115114e-05,-4.4319197697458563e-07,7.669349243080218e-09,-7.714862206786133e-11,4.1808643506097456e-13,-9.433702746512875e-16,0.7832488329709448
11_z,-0.028478445218683764,0.008959873897983488,-0.0010945667547655855,6.613816740976297e-05,-2.1854843979981094e-06,4.1016926069401504e-08,-4.355068467197742e-10,2.436815811611254e-12,-5.5855954909641394e-15,-0.03300835924605916
12_x,0.014278497044475104,-0.003967046750419913,0.00042820612662198177,-2.2818730376277637e-05,6.71912112561012e-07,-1.1532219231574009e-08,1.1506684474621456e-10,-6.188311374627833e-13,1.386658844100538e-15,0.3862807746851156
12_y,-0.0021740791731689373,0.0005248535705237716,-4.924812861505763e-05,2.1791851700330754e-06,-5.1286167210976125e-08,6.995954309291021e-10,-5.703135288211142e-12,2.6429340580369082e-14,-5.442838972720984e-17,0.7747765926925257
12_z,0.012080184135258255,-0.0008536176842851657,-7.549483507308881e-05,1.1695470117703312e-05,-5.48635357128455e-07,1.2231681482756774e-08,-1.42047673239208e-10,8.31412749771534e-13,-1.941434165058976e-15,0.08950500469910076
13_x,-0.0004920691120252451,0.00012887465213589388,-1.176368434666214e-05,5.365387457370051e-07,-1.3810594756124281e-08,2.089871565109175e-10,-1.8397838751970547e-12,8.707648897661747e-15,-1.7109685048146794e-17,0.5366411283371274
13_y,0.00011434589762925802,4.138404814667045e-05,-1.1392424152216415e-05,8.381492235606341e-07,-2.8691921514451778e-08,5.343761211046936e-10,-5.596590229175043e-12,3.1021909469023114e-14,-7.086948997356672e-17,0.8997602743489861
13_z,-0.08195402845579851,0.02377187389497234,-0.002653883422752141,0.00014727548485051647,-4.537096941638711e-06,8.104477224989345e-08,-8.338959267118566e-10,4.582694893053687e-12,-1.0414485363657205e-14,0.13628072630527185
14_x,0.0016362954291035065,-0.0004273323158029516,4.3885512310270396e-05,-2.2802022861560407e-06,6.675540050231202e-08,-1.151402849327367e-09,1.160365180627989e-11,-6.315132438565668e-14,1.43246815686551e-16,0.3816490678985317
14_y,0.0005896918827810999,-0.00018745322086236512,2.0061663923716944e-05,-1.0439011538940773e-06,3.0202239963493494e-08,-5.090204617022897e-10,4.960510412603283e-12,-2.5889762252705847e-14,5.598763132314421e-17,0.8939147059009714
14_z,-0.01648911925250411,0.007202810304762238,-0.0009530554818982969,5.819719307231887e-05,-1.9094706522570325e-06,3.557827831614316e-08,-3.764418386835019e-10,2.1063773961209235e-12,-4.840347850524347e-15,0.2997563285245328
15_x,0.0005762766611673307,-9.922673456825651e-05,1.3837204614795827e-05,-9.05449240675475e-07,3.066292404013902e-08,-5.789177242829527e-10,6.161373878222013e-12,-3.4591053879371606e-14,7.970796280055312e-17,0.5139478502294802
15_y,0.0010865108648339208,-0.00024608575457932497,2.1345617111738395e-05,-9.551449553738993e-07,2.4886079447271417e-08,-3.9131624733853174e-10,3.64755142928953e-12,-1.851355963883061e-14,3.9355826110435264e-17,0.9134600622967666
15_z,-0.08700066716570365,0.02518137102624417,-0.0027991433182867993,0.00015463646178963655,-4.7451234380576594e-06,8.451428949188278e-08,-8.679366448410627e-10,4.7644638710139005e-12,-1.0821793084923638e-14,0.13725666798616531
16_x,-0.0011685531960243085,0.00032330207783102914,-3.6107067958173125e-05,1.9805870823441466e-06,-5.9475191200980596e-08,1.0292158803597102e-09,-1.0243597203795427e-11,5.447785682359933e-14,-1.1994938094288404e-16,0.3998842237841201
16_y,0.0012182005477655907,-0.0003744061376668175,4.016915027618692e-05,-2.094126428315898e-06,6.059006987732885e-08,-1.025588526664118e-09,1.010458561231196e-11,-5.365176858677483e-14,1.186139101822497e-16,0.9098932269247854
16_z,-0.02056359349876009,0.008323331938682897,-0.001069884330115262,6.414162549869942e-05,-2.0770638848251975e-06,3.835724013360663e-08,-4.0351810614767345e-10,2.249984970157831e-12,-5.160252441036226e-15,0.309701994069774
17_x,-0.0029508431271284947,0.0005922752696552975,-5.451899681951972e-05,2.6680332616230884e-06,-7.482958963044119e-08,1.2422856326459196e-09,-1.2052819603834758e-11,6.309359582030916e-14,-1.3755302055855852e-16,0.5637756950760066
17_y,0.0008515659925328521,-0.00016944787378518557,1.2510053223784082e-05,-4.393765573505461e-07,8.166684757058356e-09,-8.008907577363869e-11,3.474084162109097e-13,-3.967548438629424e-18,-3.2447485724860277e-18,0.9563121990906114
17_z,-0.10398898084158614,0.02985160743645088,-0.0032589406994598664,0.00017703563376741626,-5.356218933213307e-06,9.433618248505121e-08,-9.604988262325973e-10,5.2382095403612326e-12,-1.1839084636037469e-14,-0.09148542827515553
18_x,0.00474387316681816,-0.0012599819333980386,0.00013137077158027166,-6.907895462878927e-06,2.0303548706061168e-07,-3.480139265566552e-09,3.453840495508039e-11,-1.8389383789553221e-13,4.0643010801349797e-16,0.31115953804667534
18_y,-0.0007543282095375228,0.00012749286198335413,-1.1514468496096452e-05,5.557823569392638e-07,-1.520056834071337e-08,2.4483707670412064e-10,-2.305675048471031e-12,1.1754559767198146e-14,-2.507419523850466e-17,0.9411784545996037
18_z,-0.035429210100340426,0.01251373599119631,-0.0014996087125079514,8.578698581726382e-05,-2.682105448301163e-06,4.823973405285899e-08,-4.975346715781382e-10,2.7332252563222773e-12,-6.1983231478207216e-15,0.14067350666055392
